key,buy_high_min,buy_high_max,sector_high_min,sector_high_max,volume_z_min,fear_lookback,fear_threshold,volume_lookback,low_count_min,arm_window,exit_atr,max_positions,sectors,in_signals,in_median,in_mdd,in_calmar,out_median,out_mdd,out_calmar,win_pct
h14_z0.0_f1_p5,1,4,2,2,0.0,1,40.0,20,9,0,2.0,5,default54,212,17.74,-38.26,0.177,-13.83,-26.1,-0.448,58.96
h14_z0.0_f1_p8,1,4,2,2,0.0,1,40.0,20,9,0,2.0,8,default54,212,14.29,-36.85,0.15,-10.42,-26.85,-0.327,58.96
h14_z0.0_f1_p10,1,4,2,2,0.0,1,40.0,20,9,0,2.0,10,default54,212,12.94,-36.36,0.138,-10.36,-26.19,-0.334,58.96
h14_z0.0_f3_p5,1,4,2,2,0.0,3,40.0,20,9,0,2.0,5,default54,694,27.52,-37.6,0.273,-7.79,-18.16,-0.361,52.16
h14_z0.0_f3_p8,1,4,2,2,0.0,3,40.0,20,9,0,2.0,8,default54,694,23.58,-32.12,0.276,-9.43,-17.73,-0.448,52.16
h14_z0.0_f3_p10,1,4,2,2,0.0,3,40.0,20,9,0,2.0,10,default54,694,22.18,-32.17,0.26,-9.49,-18.45,-0.433,52.16
h14_z0.0_f5_p5,1,4,2,2,0.0,5,40.0,20,9,0,2.0,5,default54,903,-4.38,-44.88,-0.04,-8.92,-19.07,-0.394,50.94
h14_z0.0_f5_p8,1,4,2,2,0.0,5,40.0,20,9,0,2.0,8,default54,903,-3.28,-38.22,-0.035,-9.58,-20.02,-0.403,50.94
h14_z0.0_f5_p10,1,4,2,2,0.0,5,40.0,20,9,0,2.0,10,default54,903,0.02,-36.18,0.0,-10.33,-19.12,-0.455,50.94
h14_z0.5_f1_p5,1,4,2,2,0.5,1,40.0,20,9,0,2.0,5,default54,160,0.96,-38.43,0.01,-3.73,-21.3,-0.147,55.62
h14_z0.5_f1_p8,1,4,2,2,0.5,1,40.0,20,9,0,2.0,8,default54,160,6.46,-37.15,0.069,-7.59,-21.6,-0.295,55.62
h14_z0.5_f1_p10,1,4,2,2,0.5,1,40.0,20,9,0,2.0,10,default54,160,6.23,-36.22,0.068,-10.26,-24.08,-0.359,55.62
h14_z0.5_f3_p5,1,4,2,2,0.5,3,40.0,20,9,0,2.0,5,default54,598,-3.09,-39.07,-0.032,-9.94,-19.19,-0.436,50.17
h14_z0.5_f3_p8,1,4,2,2,0.5,3,40.0,20,9,0,2.0,8,default54,598,-3.78,-38.36,-0.04,-12.76,-20.92,-0.515,50.17
h14_z0.5_f3_p10,1,4,2,2,0.5,3,40.0,20,9,0,2.0,10,default54,598,-6.68,-37.14,-0.074,-9.62,-17.51,-0.463,50.17
h14_z0.5_f5_p5,1,4,2,2,0.5,5,40.0,20,9,0,2.0,5,default54,796,-5.26,-39.68,-0.054,-12.31,-20.2,-0.515,49.5
h14_z0.5_f5_p8,1,4,2,2,0.5,5,40.0,20,9,0,2.0,8,default54,796,-3.96,-36.93,-0.044,-13.64,-21.97,-0.525,49.5
